StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,ESL_Screener,Aut_Group,Consent_Proceed,Age,Demographics_Ed,Q3,Q3_3_TEXT,Q4,Q5,Q5_7_TEXT,Q6,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q24_16,Q24_17,Q24_18,Q24_19,Q24_20,Q62,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q26,Q61,Q29,Q29_6_TEXT,Q30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,PROLIFIC_PID,SESSION_ID,STUDY_ID,LIST_ID,Prac,feedback
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID? 
Please note that this response should auto-fill with the correct ID",Is English your primary or first language?,"Have you received a formal clinical diagnosis of autism spectrum disorder (ASD), made by a psychiatrist, psychologist, or other qualified medical specialist? (This includes Asperger's Syndrome, Autism Disorder, High Functioning Autism or Pervasive Developmental Disorder).",Do you consent to participating in this study and wish to proceed?,"Please enter your age (in years) below. 
(Please do not provide your exact birth date.)",What is the highest level of school you have completed or the highest degree you have received?,What is your current gender identity? - Selected Choice,What is your current gender identity? - Other - Text,Information about income is very important to understand.  Please give your best estimate of your entire household income from the previous year before taxes. Please select the option that corresponds to your household income in US Dollars.,What is your primary race or ancestry?(Select all that apply.) - Selected Choice,What is your primary race or ancestry?(Select all that apply.) - Other - Text,What is your ethnicity?,"Section 1: As a child, did you? - 1. Have difficulties with self-care tasks, such as tying shoelaces, fastening buttons and zips?","Section 1: As a child, did you? - 2. Have difficulty eating without getting dirty?","Section 1: As a child, did you? - 3. Have difficulty learning to ride a bike compared to your peers?","Section 1: As a child, did you? - 4. Have difficulties with playing team games, such as football, volleyball, catching or throwing balls accurately?","Section 1: As a child, did you? - 5. Have difficulty writing neatly (so others could read it)?","Section 1: As a child, did you? - 6. Have difficulty writing as fast as your peers?","Section 1: As a child, did you? - 7. Bump into objects or people, trip over things more than others?","Section 1: As a child, did you? - 8. Have difficulty playing a musical instrument (e.g. violin, recorder)?","Section 1: As a child, did you? - 9. Have difficulties with organising/finding things in your room?","Section 1: As a child, did you? - 10. Have others comment about your lack of coordination or call you clumsy?",Section 2: Do you currently have difficulties with the following items: - 1. Self-care tasks such as shaving or make up?,Section 2: Do you currently have difficulties with the following items: - 2. Eating with a knife and fork/spoon?,Section 2: Do you currently have difficulties with the following items: - 3. Hobbies that require good coordination?,Section 2: Do you currently have difficulties with the following items: - 4. Writing neatly when having to write fast?,Section 2: Do you currently have difficulties with the following items: - 5. Writing as fast as your peers?,Section 2: Do you currently have difficulties with the following items: - 6. Reading your own writing?,Section 2: Do you currently have difficulties with the following items: - 7. Copying things down without making mistakes?,Section 2: Do you currently have difficulties with the following items: - 8. Organising/finding things in your room?,Section 2: Do you currently have difficulties with the following items: - 9. Finding your way around new buildings or places?,Section 2: Do you currently have difficulties with the following items: - 10. Have others called you disorganised?,Section 2: Do you currently have difficulties with the following items: - 11. Do you have difficulties sitting still or appearing fidgety?,Section 2: Do you currently have difficulties with the following items: - 12. Do you lose or leave behind possessions?,"Section 2: Do you currently have difficulties with the following items: - 13. Would you say that you bump into things, spill or break things?",Section 2: Do you currently have difficulties with the following items: - 14. Are you slower than others getting up on the morning and getting to work or college?,"Section 2: Do you currently have difficulties with the following items: - 15. Did it take you longer than others to learn to drive? (if you do not drive, please indicate in the section below and describe why you chose not to drive)",Section 2: Do you currently have difficulties with the following items: - 16. Do others find it difficult to read your writing?,Section 2: Do you currently have difficulties with the following items: - 17. Do you avoid hobbies that require good coordination?,Section 2: Do you currently have difficulties with the following items: - 18. Do you choose to spend your leisure time more on your own than with others?,Section 2: Do you currently have difficulties with the following items: - 19. Do you avoid team games/sports?,"Section 2: Do you currently have difficulties with the following items: - 20. If you do a sport, is it more likely to be on your own, e.g. going to the gym, than with others?","15 - If you do not drive, please indicate this here and describe why you chose not to drive. (Please do not provide identifying information.)",Section 2: Do you currently have difficulties with the following items: - 21. Do you/did you in your teens/twenties avoid going to clubs/dancing?,"Section 2: Do you currently have difficulties with the following items: - 22. If you are a driver, do you have difficulty parking a car?",Section 2: Do you currently have difficulties with the following items: - 23. Do you have difficulty preparing a meal from scratch?,Section 2: Do you currently have difficulties with the following items: - 24. Do you have difficulty packing a suitcase to go away?,Section 2: Do you currently have difficulties with the following items: - 25. Do you have difficulty folding clothes to put them away neatly?,Section 2: Do you currently have difficulties with the following items: - 26. Do you have difficulty managing money?,Section 2: Do you currently have difficulties with the following items: - 27. Do you have difficulties with performing two things at the same time (e.g. driving and listening or taking a telephone message)?,"Section 2: Do you currently have difficulties with the following items: - 28. Do you have difficulties with distance estimation (e.g. with regard to parking, passing through objects)?",Section 2: Do you currently have difficulties with the following items: - 29. Do you have difficulty planning ahead?,Section 2: Do you currently have difficulties with the following items: - 30. Do you feel you are losing attention in certain situations?,Can you describe any compensatory strategies or approaches that you have developed over the years in order to deal with coordination difficulties in your everyday life?,How would you categorize your handedness?,Have you been diagnosed with any of the following? - Selected Choice,Have you been diagnosed with any of the following? - Other - Text,When were you diagnosed? (Please do not provide any personally identifying information.),"Do you find it difficult to socialize with or to get in touch with people, especially people your own age?",Do you prefer to be alone rather than being together with other people?,Do you have difficulties perceiving social cues?,Do other people tell you that your behavior or your emotional responses are inappropriate or hurtful?,Do you have a strong interest or hobby that absorbs so much of your time that it hampers other activities?,Do you or other people feel that you have very set routines or that you are very immersed in your own interests?,Do you or other people feel that you impose your routines or interests on others?,PROLIFIC_PID,SESSION_ID,STUDY_ID,LIST_ID,Prac,feedback
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1718036842_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50""}","{""ImportId"":""QID53""}","{""ImportId"":""QID1717977157_TEXT""}","{""ImportId"":""QID1717977158""}","{""ImportId"":""QID1717977159""}","{""ImportId"":""QID1717977159_3_TEXT""}","{""ImportId"":""QID1717977160""}","{""ImportId"":""QID1717977161""}","{""ImportId"":""QID1717977161_7_TEXT""}","{""ImportId"":""QID1717977162""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_7""}","{""ImportId"":""QID23_8""}","{""ImportId"":""QID23_9""}","{""ImportId"":""QID23_10""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_10""}","{""ImportId"":""QID24_11""}","{""ImportId"":""QID24_12""}","{""ImportId"":""QID24_13""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID24_15""}","{""ImportId"":""QID24_16""}","{""ImportId"":""QID24_17""}","{""ImportId"":""QID24_18""}","{""ImportId"":""QID24_19""}","{""ImportId"":""QID24_20""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_7""}","{""ImportId"":""QID25_8""}","{""ImportId"":""QID25_9""}","{""ImportId"":""QID25_10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_6_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID1718035950""}","{""ImportId"":""QID1718035951""}","{""ImportId"":""QID1718035952""}","{""ImportId"":""QID1718035953""}","{""ImportId"":""QID1718035954""}","{""ImportId"":""QID1718035955""}","{""ImportId"":""QID1718035956""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""LIST_ID""}","{""ImportId"":""Prac""}","{""ImportId"":""feedback""}"
2024-06-21 12:38:50,2024-06-21 12:39:41,Survey Preview,,100,50,True,2024-06-21 12:39:41,R_1CswTj9a1u8io3B,,,,,30.415,-91.0773,preview,EN,Eileen,Yes,No,"No, I do not give consent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-21 12:59:48,2024-06-21 13:06:52,IP Address,167.96.239.166,100,423,True,2024-06-21 13:06:53,R_58MUuN32Rr9lB0R,,,,,30.4042,-91.1431,anonymous,EN,Ezra,Yes,No,"Yes, I give consent",22,Some college,Male,,"Less than $20,000",White,,non-Hispanic,Never,Sometimes,Sometimes,Sometimes,Never,Frequently,Never,Never,Sometimes,Frequently,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Frequently,Never,Never,Sometimes,Never,Never,Never,Frequently,Sometimes,Frequently,,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Frequently,,I am right-handed.,Other,n/a,,Not true,Somewhat true,Not true,Not true,Not true,Not true,Not true,,,,125,1,1
2024-06-24 10:28:30,2024-06-24 10:34:03,IP Address,167.96.239.166,100,333,True,2024-06-24 10:34:05,R_5s0raQVK42EbLhv,,,,,30.4042,-91.1431,anonymous,EN,Ezra,Yes,No,"Yes, I give consent",22,Some college,Male,,"Less than $20,000",White,,non-Hispanic,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Frequently,Never,Never,Frequently,Never,Never,Never,Never,Sometimes,Never,"No car. ",Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,,I am right-handed.,Other,None,,Not true,Somewhat true,Not true,Not true,Not true,Not true,Not true,,,,56,1,1
2024-06-24 11:54:11,2024-06-24 12:03:01,IP Address,72.207.248.20,100,529,True,2024-06-24 12:03:03,R_6Dur4BaE2cP2xXA,,,,,30.4042,-91.1431,anonymous,EN,Blake Alley,Yes,No,"Yes, I give consent",22,Bachelor,Female,,"Less than $20,000",Nat. Amer.,,non-Hispanic,Never,Never,Never,Never,Never,Frequently,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Frequently,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,,I am right-handed.,Other,none,,Not true,Not true,Not true,Not true,Not true,Not true,Not true,,,,61,1,1
2024-06-25 09:34:30,2024-06-25 11:25:46,IP Address,130.39.40.179,100,6676,True,2024-06-25 11:25:47,R_10tATrWrilevZuh,,,,,30.415,-91.0773,anonymous,EN,Eileen,Yes,No,"Yes, I give consent",38,Doctoral,Female,,"$150,001 - $175,000",Nat. Amer.,,non-Hispanic,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Frequently,,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,I set reminders on my calendars.,I am right-handed.,Other,,,Not true,Not true,Not true,Somewhat true,Not true,Not true,Not true,,,,134,1,1
2024-06-25 11:26:27,2024-06-25 11:26:50,IP Address,130.39.40.179,100,23,True,2024-06-25 11:26:51,R_7gRsWhDKQhfsx0t,,,,,30.415,-91.0773,anonymous,EN,Eileen,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25 11:26:55,2024-06-25 12:22:47,IP Address,130.39.40.179,100,3351,True,2024-06-25 12:22:47,R_5FttYqFUkvC5V3c,,,,,30.415,-91.0773,anonymous,EN,Eileen3,Yes,No,"Yes, I give consent",38,Doctoral,Female,,"$150,001 - $175,000",Nat. Amer.,,non-Hispanic,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,I am right-handed.,Other,none,,Not true,Not true,Not true,Not true,Not true,Not true,,,,,49,1,1
2024-06-25 12:52:52,2024-06-25 12:54:03,IP Address,104.52.136.24,100,70,True,2024-06-25 12:54:04,R_7MTnsBCJVmfZlDj,,,,,30.4042,-91.1431,anonymous,EN,test,Yes,Yes - as an adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
