"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","adjunct","7","Abstract",1,70153,1067.72,364.52,25,-0.0073,0.9669,25,0.8387,31,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.845098040014257,"Noun",13.06,NA,NA
"2","advancement","4","Abstract",1,40185,1026.07,254.21,28,6e-04,0.7876,28,0.875,32,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80617997398389,1.77085201164214,"Noun",10.89,NA,NA
"3","alliteration","2","Abstract",1,20193,1273.88,530.22,24,0.6536,1.0727,24,0.8065,31,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Noun",13.86,NA,NA
"4","anomaly","6","Abstract",3,60639,1123.45,479.61,29,0.1565,1.083,29,0.9355,31,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80617997398389,1.75587485567249,"Noun",12.44,NA,NA
"5","appeal","1","Abstract",4,10970,972.6,355.45,30,-1e-04,0.987,30,0.9677,31,1.73,23,1.652173913,1.112274314,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82216807936802,2.68752896121463,"Noun",10.21,NA,NA
"6","aspect","7","Abstract",2,70441,820.3,186.33,27,-0.4947,0.5386,27,0.9032,31,1.82,25,1.44,1.260952021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29666519026153,2.23552844690755,"Noun",10.35,NA,NA
"7","caution","1","Abstract",3,10729,960.93,281.13,29,-0.0423,0.8563,29,0.9355,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42160392686983,2.3541084391474,"Noun",6.22,NA,NA
"8","condition","3","Abstract",4,30965,1017.33,370.01,24,0.2016,1.0722,24,0.8065,31,2.15,23,1.434782609,1.308228746,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28712962071911,3.13861843389949,"Noun",8.42,NA,NA
"9","continuity","6","Abstract",3,60719,985.31,456.17,29,-0.1488,0.9026,29,0.9032,31,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55630250076729,1.51851393987789,"Noun",13.68,NA,NA
"10","curate","7","Abstract",4,70943,1109.76,347.26,17,0.3969,0.9155,17,0.5484,31,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.778151250383644,"Noun",15.67,NA,NA
"11","desertion","1","Abstract",3,10698,1121.57,373.84,30,0.4207,0.9129,30,1,31,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5910646070265,1.53147891704226,"Noun",12.33,NA,NA
"12","diplomacy","1","Abstract",2,10378,1092.39,451.84,23,0.1884,1.2321,23,0.7097,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91381385238372,1.83250891270624,"Noun",10.89,NA,NA
"13","disarray","8","Abstract",2,80404,1015.86,389.87,29,0.0518,1.1473,29,0.9032,31,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.17609125905568,"Noun",12.4,NA,NA
"14","discomfort","5","Abstract",1,50168,971.4,314.13,25,0.0287,1.0245,25,0.8125,32,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91381385238372,1.85125834871908,"Noun",9.53,NA,NA
"15","drudgery","4","Abstract",1,40127,1146.81,431.01,26,0.2848,0.9829,26,0.875,32,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Noun",15.12,NA,NA
"16","elegance","4","Abstract",4,40909,888.14,239.28,28,-0.1452,0.7404,28,0.875,32,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81954393554187,1.75587485567249,"Noun",9.61,NA,NA
