"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","distance","weights","subclass","level"
"1","abolition","4","Abstract",3,40673,1005.89,270.05,27,0.2573,0.8563,27,0.8438,32,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515823,0.954242509439325,"Noun",13.28,0.261651168023341,1,"50",NA
"2","abomination","1","Abstract",1,10238,1289.92,488.72,26,0.785,1.169,26,0.8065,31,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77085201164214,1.68124123737559,"Noun",11.17,0.101697198765595,1,"290",NA
"3","abstention","5","Abstract",1,50192,1089.79,267.86,29,0.4263,0.972,29,0.9375,32,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.778151250383644,"Noun",15.19,0.490643547481872,1,"7",NA
"4","absurdity","8","Abstract",3,80683,981.42,356.44,31,-0.0248,1.0107,31,1,31,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851393987789,1.50514997831991,"Noun",13.21,0.248348490370694,1,"42",NA
"5","accolade","5","Abstract",1,50139,1025.04,203.93,26,0.2011,0.9217,26,0.8438,32,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",12.43,0.194096112263283,1,"209",NA
"6","accountancy","4","Abstract",4,40880,1066.41,382.49,27,0.4539,1.1219,27,0.871,31,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.477121254719662,"Noun",14.8,0.444850714852999,1,"142",NA
"7","adaptation","7","Abstract",3,70649,1078.31,358.16,29,0.2628,1.001,29,0.9355,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91381385238372,1.85125834871908,"Noun",11.39,0.111541548277318,1,"165",NA
"8","adequacy","10","Abstract",3,100706,905.28,342.9,29,-0.3688,0.82,29,0.9375,32,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",12.5,0.199811342266283,1,"106",NA
"9","adjunct","7","Abstract",1,70153,1067.72,364.52,25,-0.0073,0.9669,25,0.8387,31,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.845098040014257,"Noun",13.06,0.242108928703468,1,"101",NA
"10","adoration","10","Abstract",4,100982,1070.53,437.28,30,0.2047,0.9966,30,0.9688,32,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.41497334797082,"Noun",11.8,0.137831837229241,1,"200",NA
